tau,P_excited_N_1,P_excited_N_2,P_excited_N_3,P_excited_N_4,P_excited_N_5,P_excited_N_6
0.29659318637274545,0.16871291151538872,0.23002150044709044,0.24260323823391738,0.2431111848853202,0.24585405569571694,0.2534880844511535
0.3006012024048096,0.16470408433452685,0.22373527779367894,0.2361452680041382,0.23769813854233676,0.2417455568811918,0.25046342709954195
0.3046092184368737,0.16079050912279555,0.217663100434247,0.22997777506793254,0.2325764343532203,0.23787784981139715,0.24761462988896618
0.30861723446893785,0.15696992422179554,0.2117979845377063,0.22408751790916753,0.22772872242705688,0.23423356146057137,0.2449271599634099
0.312625250501002,0.1532401208607914,0.20613310784860378,0.2184617489414405,0.22313863141530163,0.23079656707223878,0.2423876945654049
0.3166332665330661,0.14959894269872936,0.20066183878122817,0.21308824868956178,0.21879073622265777,0.227551931738804,0.23998409862496428
0.32064128256513025,0.14604428440300107,0.19537776199641033,0.2079553502878164,0.2146705045889481,0.22448579346584574,0.2377052529190514
0.3246492985971944,0.14257409022820727,0.1902746562923792,0.20305188188048212,0.21076423958928792,0.22158530385157585,0.2355409793245531
0.3286573146292585,0.13918635259492154,0.18534647861412124,0.19836712686324565,0.20705904680669526,0.21883855853154544,0.23348202795451473
0.33266533066132264,0.13587911066845418,0.1805873559229985,0.19389082849127015,0.20354279234592476,0.21623452858352235,0.23151987108076644
0.3366733466933867,0.13265045082820365,0.17599159338097786,0.1896131809273493,0.20020405946189918,0.213762997518703,0.22964675832089188
0.34068136272545085,0.12949851402194362,0.17155367837267343,0.18552480628199308,0.19703210716864153,0.2114145023478284,0.22785559522325755
0.344689378757515,0.12642147955642194,0.1672682695570899,0.18161673939282075,0.19401683052635102,0.20918027957093083,0.22613987421622125
0.3486973947895791,0.12341756800868119,0.16313017990120574,0.177880412569895,0.19114874300395285,0.20705221436936272,0.22449367660737107
0.35270541082164325,0.12048504118595679,0.15913437046967524,0.17430763966144114,0.18841893751852953,0.20502279315711225,0.22291155636471538
0.3567134268537074,0.11762220082600203,0.15527595833892582,0.17089060314140503,0.18581902720142202,0.20308505777308464,0.22138855221477444
0.3607214428857715,0.1148273872974131,0.15155023666414616,0.16762184216514567,0.1833411365304497,0.20123256619718646,0.2199201376303635
0.36472945891783565,0.11209897829995424,0.1479526537022471,0.16449423261923496,0.1809778774901737,0.1994593543569147,0.2185021052355398
0.3687374749498998,0.10943538756488293,0.1444787829044788,0.16150097473015174,0.17872231282474868,0.19775990028054904,0.21713067862555252
0.3727454909819639,0.10683506783078768,0.14112432848350204,0.1586355875252546,0.17656793191374998,0.19612909112482832,0.215802353542287
0.37675350701402804,0.10429653530324808,0.1378851359099604,0.1558918877976163,0.1745086260033104,0.19456219287378435,0.2145139379576265
0.3807615230460922,0.10181832628532092,0.13475719806395753,0.15326397573186046,0.1725386622648885,0.19305482389554376,0.21326250402410166
0.38476953907815625,0.09939900651987604,0.13173663708501948,0.15074622982257746,0.17065265865129522,0.19160291715981537,0.2120453560448813
0.3887775551102204,0.09703717466370923,0.12881969252534978,0.14833329986281313,0.16884556169362072,0.190202737179689,0.21086004932405664
0.3927855711422845,0.09473146121247687,0.1260027264310585,0.1460200810071249,0.16711264316486202,0.18885078870592242,0.2097042929304608
0.39679358717434865,0.0924805274256304,0.1232822240227057,0.14380170758382155,0.1654494657607401,0.18754384951032255,0.20857604858049386
0.4008016032064128,0.09028307398029208,0.12065479080596522,0.14167355526087028,0.16385186826869286,0.18627893233118295,0.20747340416272514
0.4048096192384769,0.08813783794908933,0.11811714425684683,0.1396312172557595,0.16231595341676275,0.18505326834229027,0.20639459531341628
0.40881763527054105,0.08604357850179323,0.1156661011557788,0.13767049314702345,0.1608380616384118,0.18386429193226844,0.20533805530109292
0.4128256513026052,0.08399908354978183,0.11329858006408511,0.13578738801783352,0.15941476406178062,0.1827096249319973,0.20430227904929354
0.4168336673346693,0.08200316884331152,0.11101161410758806,0.1339781069237051,0.15804284666564544,0.181587062293059,0.20328592564022024
0.42084168336673344,0.08005467706380122,0.10880234575228628,0.1322390318346684,0.15671928795127693,0.18049455898153463,0.20228775013768782
0.4248496993987976,0.07815247837305558,0.10666801025477482,0.13056671838402983,0.15544126855878998,0.17943021855765412,0.20130658746691643
0.4288577154308617,0.07629547883112026,0.10460591653402712,0.1289578999417654,0.15420614708281713,0.17839228318109224,0.20034142215690814
0.43286573146292584,0.0744826060319351,0.10261346028114937,0.12740946625481378,0.15301144282017665,0.17737912097241512,0.19939124411267653
0.4368737474949899,0.07271281120892747,0.10068815110728743,0.1259184554931275,0.1518548248865754,0.17638921742977112,0.19845517156108697
0.44088176352705405,0.0709850699338017,0.09882759653105608,0.12448205492584374,0.15073409971407933,0.17542116674727337,0.19753238957162816
0.4448897795591182,0.06929838136006518,0.09702947445547296,0.12309759570178722,0.1496472117398114,0.17447366029255235,0.19662211190700596
0.4488977955911823,0.06765176746655419,0.09529152147014548,0.1217625351082218,0.1485922581894613,0.1735454878099086,0.19572366223625565
0.45290581162324645,0.06604427697832646,0.09361154906593443,0.12047445445332626,0.14756745124945495,0.17263552585523623,0.19483637892219763
0.4569138276553106,0.06447498394674404,0.09198746804142965,0.11923106186724229,0.1465711114714083,0.17174272009270908,0.19395966576319515
0.4609218436873747,0.06294298076525001,0.0904172639446722,0.11803017565032994,0.1456016575288328,0.17086609655719082,0.19309299799227808
0.46492985971943884,0.06144738102211692,0.08889898346281541,0.1168697186128254,0.14465760355678126,0.17000474809077737,0.1922358146863404
0.468937875751503,0.05998731886505995,0.08743073661818748,0.11574772376372802,0.1437375624140168,0.16915783071323073,0.19138768188919564
0.4729458917835671,0.05856194836392203,0.08601070268180544,0.11466233049278568,0.1428402318243306,0.16832455971752897,0.19054814821460273
0.47695390781563124,0.057170443656793496,0.08463713469653492,0.11361176729708483,0.14196438592496333,0.167504205236914,0.18971680726845602
0.48096192384769537,0.0558120033042074,0.08330834918303837,0.11259435103314178,0.14110887914420484,0.16669608703065028,0.1888932969837677
0.4849699398797595,0.05448584252689175,0.08202270914240344,0.11160847817037078,0.14027263367731024,0.16589957155216026,0.1880772527271916
0.4889779559118236,0.0531911941738193,0.08077862609722172,0.11065262248068655,0.13945463692717117,0.16511406860736444,0.1872683685532991
0.4929859719438877,0.0519273089412393,0.0795745762041581,0.10972532892109768,0.13865394215810414,0.16433902824724153,0.18646631801161023
0.49699398797595185,0.05069345482628139,0.07840911006332937,0.10882522798842653,0.13786966045627408,0.16357393611567703,0.1856708519122869
0.501002004008016,0.049488916580559296,0.07728083465290062,0.10795103211217194,0.1371009590249916,0.16281831192886434,0.18488170479302435
0.5050100200400801,0.04831299829854465,0.07618837631876628,0.10710151494305686,0.13634705710629294,0.1620717084542762,0.18409863579359742
0.5090180360721442,0.0471650223906299,0.07513039973800573,0.10627551352504477,0.13560721574577428,0.16133371255818355,0.18332141214696412
0.5130260521042084,0.046044324914689225,0.07410563588926487,0.1054719118939329,0.13488074170504685,0.16060391712874936,0.18254983583560802
0.5170340681362725,0.04495025742843252,0.07311288044808642,0.10468965025017088,0.13416698272854344,0.15988196815040373,0.1817837179320425
0.5210420841683366,0.043882186523501295,0.07215097332977477,0.10392771806854212,0.13346532433526825,0.15916752366978998,0.18102285870210638
0.5250501002004008,0.04283949335853216,0.07121877255367119,0.10318516437080734,0.13277519331710969,0.15846026552522469,0.18026712939061332
0.5290581162324649,0.04182157377958558,0.07031517672292015,0.10246109277440806,0.13209605127926652,0.1577598953892901,0.17951633409054413
0.533066132264529,0.040827841552926944,0.06943913595116522,0.10175464763110259,0.1314273925306057,0.1570661343437711,0.17877033925328675
0.5370741482965932,0.03985772260014765,0.06858964186528504,0.1010650169546756,0.13076874374001485,0.15637872143497172,0.1780290202586305
0.5410821643286573,0.038910655736516975,0.06776571855291885,0.10039143051718837,0.1301196533222551,0.15569741231792067,0.17729221952391883
0.5450901803607214,0.037986092835097456,0.06696641672914525,0.09973315647063836,0.12947969180865096,0.15502197636709447,0.1765598452513605
0.5490981963927856,0.03708349842730522,0.06619082074314034,0.09908949899856659,0.1288484557717875,0.1543521976712834,0.1758317712123023
0.5531062124248497,0.03620234930347018,0.06543806362927668,0.0984598007390739,0.12822556260213977,0.1536878737444856,0.17510789149418016
0.5571142284569138,0.035342136401612594,0.06470731916443234,0.0978434394583757,0.1276106549013153,0.1530288142898069,0.1743881378018588
0.561122244488978,0.034502364031178546,0.06399777869536169,0.09723982306029667,0.12700340562164558,0.15237484029835183,0.17367236572583306
0.565130260521042,0.03368254650235285,0.06330864481167098,0.09664838866203908,0.12640350575086368,0.15172578823553137,0.17296052756767546
0.5691382765531061,0.03288220946290257,0.06263914778804718,0.09606859907400861,0.1258106693442046,0.15108149613486002,0.17225252716841888
0.5731462925851702,0.03210088955703442,0.0619885790065397,0.09549994228039449,0.12522462768564582,0.15044181409523083,0.17154828290495902
0.5771543086172344,0.03133813408366597,0.06135626540119718,0.09494192906840257,0.12464510611047706,0.14980660816149716,0.17084773955780558
0.5811623246492985,0.030593501089803063,0.06074153464492894,0.09439410444799572,0.12407184993069607,0.1491757472158581,0.17015080865799762
0.5851703406813626,0.029866561738330796,0.060143723156649266,0.09385604200561093,0.12350461470117441,0.14854910887158573,0.16945744115844558
0.5891783567134268,0.029156896073843943,0.059562195357133224,0.09332733644780405,0.1229431646664357,0.14792657735446196,0.1687675677590758
0.5931863727454909,0.028464093574894937,0.058996361522565925,0.09280760306421723,0.12238729440694895,0.1473080422483003,0.16808110894316086
0.597194388777555,0.027787753271747977,0.058445654446773784,0.09229646588030899,0.12183680864633722,0.14669339999908312,0.16739805650948916
0.6012024048096192,0.02712748345416265,0.057909514359956546,0.0917935689331264,0.12129152323708296,0.14608255277415308,0.16671832304112774
0.6052104208416833,0.02648290137917749,0.05738740085150419,0.09129857110349271,0.12075126893571629,0.14547540796227226,0.1660418739638273
0.6092184368737474,0.02585363466311097,0.0568787996863,0.09081115481880536,0.12021587771249731,0.14487187777184174,0.165368657735522
0.6132264529058116,0.025239320692919825,0.0563832241087668,0.09033102036512489,0.11968518852529558,0.14427187976481073,0.1646986281654165
0.6172344689378757,0.024639604174588985,0.05590020563352223,0.08985788072212648,0.1191590531084545,0.14367533737231775,0.16403175379026222
0.6212424849699398,0.024054138108108226,0.05542927667316042,0.08939146357042388,0.11863733121244446,0.14308217740353904,0.1633679774007924
0.625250501002004,0.023482583537844996,0.054969979157601406,0.08893151080778416,0.11811988747234323,0.14249232966589517,0.16270729296860612
0.6292585170340681,0.022924609302593504,0.05452188983089917,0.08847777737290567,0.1176065890665396,0.14190572561722403,0.16204963115356702
